VATTENID	NAMN	LOKALNAMN	DATUM1	NETTYP	NETKOD	NETNR	ZON	NabborB	BabborB	NgäddaB	BgäddaB	NlakeB	BlakeB	NmörtB	BmörtB	Narter	NtotalB	BtotalB	MviktB	AbCyW	pCyp	mlg10Labbo	mlg10Lmört	nPiscAbb-Net	BpiscAbbB-Net	gmLabboB	gmLmörtB	pPiscPerc
683673-154083	Stensjön	Hela sjön	19950810	B	Bnord12	10	3	22	795	0	0			9	370	2	31	1165	37.58	2.15	0.32	2.08	2.23	8.38	479.13	121.59	170.28	0.41
683673-154083	Stensjön	Hela sjön	19950810	B	Bnord12	11	3	37	1538	0	0			26	822	2	63	2360	37.46	1.87	0.35	2.20	2.18	24.62	1238.05	159.20	150.10	0.52
683673-154083	Stensjön	Hela sjön	19950810	B	Bnord12	12	6	0	0	0	0			1	47	1	1	47	47.00	0.00	1.00		2.25				176.00	
683673-154083	Stensjön	Hela sjön	19950810	B	Bnord12	13	6	7	299	0	0			3	281	2	10	580	58.00	1.06	0.48	2.22	2.32	5.23	242.48	164.93	211.28	0.42
683673-154083	Stensjön	Hela sjön	19950810	B	Bnord12	14	3	13	739	1	606			10	790	3	24	2135	88.96	0.94	0.37	2.15	2.27	5.87	574.41	140.54	186.67	0.27
683673-154083	Stensjön	Hela sjön	19950810	B	Bnord12	15	0	15	721	1	966			26	1170	3	42	2857	68.02	0.62	0.41	2.21	2.19	10.97	648.78	162.04	155.03	0.23
683673-154083	Stensjön	Hela sjön	19950810	B	Bnord12	16	0	12	973	0	0			25	977	2	37	1950	52.70	1.00	0.50	2.27	2.19	9.70	921.69	186.69	155.86	0.47
683673-154083	Stensjön	Hela sjön	19950810	B	Bnord12	17	3	15	427	0	0			12	548	2	27	975	36.11	0.78	0.56	2.15	2.20	5.83	474.43	141.88	156.70	0.49
683673-154083	Stensjön	Hela sjön	19950810	B	Bnord12	18	0	30	1628	0	0			33	2158	2	63	3786	60.10	0.75	0.57	2.12	2.24	13.65	1236.78	132.14	174.74	0.33
683673-154083	Stensjön	Hela sjön	19950810	B	Bnord12	19	6	12	506	0	0			2	155	2	14	661	47.21	3.26	0.23	2.22	2.32	8.87	447.68	165.33	210.76	0.68
683673-154083	Stensjön	Hela sjön	19950810	B	Bnord12	20	3	42	1238	0	0			18	1680	2	60	2918	48.63	0.74	0.58	2.11	2.32	14.28	852.80	128.43	208.05	0.29
683673-154083	Stensjön	Hela sjön	19950810	B	Bnord12	21	6	4	256	0	0			1	107	2	5	363	72.60	2.39	0.29	2.26	2.36	3.33	249.56	182.53	228.00	0.69
683673-154083	Stensjön	Hela sjön	19950810	B	Bnord12	22	6	0	0	0	0			0	0	0	0	0										
683673-154083	Stensjön	Hela sjön	19950810	B	Bnord12	23	6	3	140	0	0			3	313	2	6	453	75.50	0.45	0.69	2.23	2.35	2.40	123.27	169.46	223.26	0.27
683673-154083	Stensjön	Hela sjön	19950810	B	Bnord12	24	0	16	860	0	0			32	721	2	48	1581	32.94	1.19	0.46	2.24	2.09	13.03	819.65	173.41	122.58	0.52
683673-154083	Stensjön	Hela sjön	19960809	B	Bnord12	1	3	17	630	0	0			13	881	2	30	1511	50.37	0.72	0.58	2.14	2.23	6.50	445.09	138.96	169.65	0.29
683673-154083	Stensjön	Hela sjön	19960809	B	Bnord12	2	0	15	547	0	0			25	748	2	40	1295	32.38	0.73	0.58	2.13	2.09	5.77	439.97	133.59	122.06	0.34
683673-154083	Stensjön	Hela sjön	19960809	B	Bnord12	3	3	31	939	0	0			15	991	2	46	1930	41.96	0.95	0.51	2.14	2.21	12.07	596.75	137.45	161.13	0.31
683673-154083	Stensjön	Hela sjön	19960809	B	Bnord12	4	0	16	653	1	411			15	753	3	32	1817	56.78	0.87	0.41	2.19	2.19	9.37	511.42	154.33	154.67	0.28
683673-154083	Stensjön	Hela sjön	19960809	B	Bnord12	5	3	18	647	0	0			18	955	2	36	1602	44.50	0.68	0.60	2.14	2.20	7.67	512.55	138.56	160.23	0.32
683673-154083	Stensjön	Hela sjön	19960809	B	Bnord12	6	3	13	460	0	0			1	164	2	14	624	44.57	2.80	0.26	2.16	2.40	5.80	292.44	143.97	249.00	0.47
683673-154083	Stensjön	Hela sjön	19960809	B	Bnord12	7	0	32	657	0	0			21	1372	2	53	2029	38.28	0.48	0.68	2.07	2.19	5.35	282.28	117.74	155.51	0.14
683673-154083	Stensjön	Hela sjön	19960809	B	Bnord12	8	0	13	522	0	0			24	1246	2	37	1768	47.78	0.42	0.70	2.14	2.16	4.68	370.37	139.47	145.08	0.21
683673-154083	Stensjön	Hela sjön	19960809	B	Bnord12	9	3	13	558	0	0			7	637	2	20	1195	59.75	0.88	0.53	2.19	2.32	7.75	442.87	156.63	207.82	0.37
683673-154083	Stensjön	Hela sjön	19960809	B	Bnord12	10	3	22	588	0	0			17	778	2	39	1366	35.03	0.76	0.57	2.09	2.17	4.07	289.69	123.30	149.15	0.21
683673-154083	Stensjön	Hela sjön	19960809	B	Bnord12	11	0	24	691	0	0			7	268	2	31	959	30.94	2.58	0.28	2.11	2.18	7.38	392.43	128.18	150.61	0.41
683673-154083	Stensjön	Hela sjön	19960809	B	Bnord12	12	3	17	616	0	0			12	695	2	29	1311	45.21	0.89	0.53	2.17	2.23	9.23	488.60	147.42	168.69	0.37
683673-154083	Stensjön	Hela sjön	19960809	B	Bnord12	13	0	38	734	0	0			22	1056	2	60	1790	29.83	0.70	0.59	2.05	2.22	5.50	324.78	112.76	164.78	0.18
683673-154083	Stensjön	Hela sjön	19960809	B	Bnord12	14	3	5	192	0	0			13	821	2	18	1013	56.28	0.23	0.81	2.18	2.23	2.60	137.71	151.07	169.60	0.14
683673-154083	Stensjön	Hela sjön	19960809	B	Bnord12	15	0	13	775	0	0			31	888	2	44	1663	37.80	0.87	0.53	2.22	2.15	9.27	669.87	167.80	140.07	0.40
683673-154083	Stensjön	Hela sjön	19960809	B	Bnord12	16	0	24	524	0	0			15	485	2	39	1009	25.87	1.08	0.48	2.05	2.13	5.48	342.10	112.95	134.98	0.34
683673-154083	Stensjön	Hela sjön	19960809	B	Bnord12	17	6	0	0	0	0			1	133	1	1	133	133.00	0.00	1.00		2.37				235.00	
683673-154083	Stensjön	Hela sjön	19960809	B	Bnord12	18	6	2	102	0	0			1	134	2	3	236	78.67	0.76	0.57	2.24	2.38	1.77	89.22	172.97	240.00	0.38
683673-154083	Stensjön	Hela sjön	19960809	B	Bnord12	19	6	0	0	0	0			0	0	0	0	0										
683673-154083	Stensjön	Hela sjön	19960809	B	Bnord12	20	6	0	0	0	0			2	193	1	2	193	96.50	0.00	1.00		2.33				212.24	
683673-154083	Stensjön	Hela sjön	19960809	B	Bnord12	21	6	0	0	0	0			0	0	0	0	0										
683673-154083	Stensjön	Hela sjön	19960809	B	Bnord12	22	6	0	0	0	0			1	140	1	1	140	140.00	0.00	1.00		2.37				237.00	
683673-154083	Stensjön	Hela sjön	19960809	B	Bnord12	23	6	4	189	0	0			5	599	2	9	788	87.56	0.32	0.76	2.23	2.36	3.30	165.78	170.74	227.03	0.21
683673-154083	Stensjön	Hela sjön	19960809	B	Bnord12	24	6	2	114	0	0			6	751	2	8	865	108.13	0.15	0.87	2.25	2.36	1.73	107.33	179.74	227.26	0.12
