VATTENID	NAMN	LOKALNAMN	DATUM1	NETTYP	NETKOD	NETNR	ZON	NabborB	BabborB	NgäddaB	BgäddaB	NlakeB	BlakeB	NmörtB	BmörtB	Narter	NtotalB	BtotalB	MviktB	AbCyW	pCyp	mlg10Labbo	mlg10Lmört	nPiscAbb-Net	BpiscAbbB-Net	gmLabboB	gmLmörtB	pPiscPerc
683673-154083	Stensjön	Hela sjön	19990816	B	Bnord12	17	0	17	520	0	0	0	0	14	547	2	31	1067	34.42	0.95	0.51	2.14	2.19	6.47	388.70	138.30	154.84	0.36
683673-154083	Stensjön	Hela sjön	19990816	B	Bnord12	18	0	6	162	1	3	0	0	26	832	3	33	997	30.21	0.19	0.83	2.07	2.15	1.10	98.30	117.81	142.39	0.10
683673-154083	Stensjön	Hela sjön	19990816	B	Bnord12	19	3	8	206	0	0	0	0	14	639	2	22	845	38.41	0.32	0.76	2.13	2.21	2.63	111.91	135.89	163.64	0.13
683673-154083	Stensjön	Hela sjön	19990816	B	Bnord12	20	3	11	375	0	0	0	0	11	433	2	22	808	36.73	0.87	0.54	2.15	2.19	4.78	262.55	142.31	153.74	0.32
683673-154083	Stensjön	Hela sjön	19990816	B	Bnord12	21	6	3	193	0	0	0	0	5	348	2	8	541	67.63	0.55	0.64	2.27	2.29	2.93	198.08	188.34	193.24	0.37
683673-154083	Stensjön	Hela sjön	19990816	B	Bnord12	22	6	5	217	0	0	0	0	3	283	2	8	500	62.50	0.77	0.57	2.21	2.31	3.43	184.36	162.52	204.41	0.37
683673-154083	Stensjön	Hela sjön	19990816	B	Bnord12	23	6	1	53	0	0	0	0	2	186	2	3	239	79.67	0.28	0.78	2.26	2.32	1.00	58.13	181.00	210.54	0.24
683673-154083	Stensjön	Hela sjön	19990816	B	Bnord12	24	6	0	0	0	0	0	0	0	0	0	0	0										
683673-154083	Stensjön	Hela sjön	20000811	B	Bnord12	1	0	23	637	0	0			12	706	2	35	1343	38.37	0.90	0.53	2.10	2.17	7.92	393.82	124.68	147.08	0.29
683673-154083	Stensjön	Hela sjön	20000811	B	Bnord12	2	3	21	1034	1	3037			10	506	3	32	4577	143.03	2.04	0.11	2.11	2.22	5.02	666.98	129.52	166.51	0.15
683673-154083	Stensjön	Hela sjön	20000811	B	Bnord12	3	0	26	1181	0	0			19	539	2	45	1720	38.22	2.19	0.31	2.18	2.08	12.27	858.32	150.67	120.75	0.50
683673-154083	Stensjön	Hela sjön	20000811	B	Bnord12	4	3	16	1263	1	644			4	369	3	21	2276	108.38	3.42	0.16	2.19	2.30	7.18	978.06	156.27	201.02	0.43
683673-154083	Stensjön	Hela sjön	20000811	B	Bnord12	5	0	29	912	0	0			22	779	2	51	1691	33.16	1.17	0.46	2.10	2.15	11.07	617.37	125.68	141.77	0.37
683673-154083	Stensjön	Hela sjön	20000811	B	Bnord12	6	3	37	1437	1	373			4	282	3	42	2092	49.81	5.10	0.13	2.13	2.26	12.75	856.36	136.11	182.95	0.41
683673-154083	Stensjön	Hela sjön	20000811	B	Bnord12	7	6	7	292	0	0			4	398	2	11	690	62.73	0.73	0.58	2.20	2.33	4.30	221.83	159.62	214.67	0.32
683673-154083	Stensjön	Hela sjön	20000811	B	Bnord12	8	6	3	135	0	0			2	162	2	5	297	59.40	0.83	0.55	2.21	2.31	2.18	105.89	163.92	204.36	0.36
683673-154083	Stensjön	Hela sjön	20000811	B	Bnord12	9	3	3	59	0	0			2	90	2	5	149	29.80	0.66	0.60	2.10	2.23	0.30	5.96	125.92	170.41	0.04
683673-154083	Stensjön	Hela sjön	20000811	B	Bnord12	10	0	4	123	1	745			16	458	3	21	1326	63.14	0.27	0.35	2.13	2.10	1.48	82.97	135.35	126.29	0.06
683673-154083	Stensjön	Hela sjön	20000811	B	Bnord12	11	0	21	611	0	0			13	280	2	34	891	26.21	2.18	0.31	2.08	2.15	7.25	418.08	119.54	141.98	0.47
683673-154083	Stensjön	Hela sjön	20000811	B	Bnord12	12	3	17	392	1	256			3	231	3	21	879	41.86	1.70	0.26	2.10	2.30	4.05	188.21	124.88	201.66	0.21
683673-154083	Stensjön	Hela sjön	20000811	B	Bnord12	13	6	5	140	1	1160			1	70	3	7	1370	195.71	2.00	0.05	2.15	2.28	1.85	72.76	141.17	191.00	0.05
683673-154083	Stensjön	Hela sjön	20000811	B	Bnord12	14	3	27	706	0	0			5	238	2	32	944	29.50	2.97	0.25	2.11	2.20	8.60	362.91	128.92	160.07	0.38
683673-154083	Stensjön	Hela sjön	20000811	B	Bnord12	15	0	41	600	1	459			8	574	3	50	1633	32.66	1.05	0.35	1.91	2.24	6.88	355.07	81.47	172.21	0.22
683673-154083	Stensjön	Hela sjön	20000811	B	Bnord12	16	6	1	60	0	0			3	224	2	4	284	71.00	0.27	0.79	2.25	2.29	0.98	55.16	179.00	196.15	0.19
683673-154083	Stensjön	Hela sjön	20000811	B	Bnord12	17	6	2	131	0	0			1	86	2	3	217	72.33	1.52	0.40	2.27	2.31	2.00	130.26	187.48	205.00	0.60
683673-154083	Stensjön	Hela sjön	20000811	B	Bnord12	18	6	4	95	0	0			1	168	2	5	263	52.60	0.57	0.64	2.13	2.41	1.05	29.02	135.31	255.00	0.11
683673-154083	Stensjön	Hela sjön	20000811	B	Bnord12	19	6	1	25	0	0			2	157	2	3	182	60.67	0.16	0.86	2.14	2.22	0.28	6.75	137.00	166.16	0.04
683673-154083	Stensjön	Hela sjön	20000811	B	Bnord12	20	6	3	107	0	0			3	173	2	6	280	46.67	0.62	0.62	2.19	2.22	1.73	62.38	154.56	167.14	0.22
683673-154083	Stensjön	Hela sjön	20000811	B	Bnord12	21	3	29	722	0	0			6	437	2	35	1159	33.11	1.65	0.38	2.09	2.26	7.67	315.36	123.88	181.68	0.27
683673-154083	Stensjön	Hela sjön	20000811	B	Bnord12	22	0	27	918	0	0			36	495	2	63	1413	22.43	1.85	0.35	2.08	1.98	10.62	639.58	119.78	94.41	0.45
683673-154083	Stensjön	Hela sjön	20000811	B	Bnord12	23	0	23	747	0	0			25	455	2	48	1202	25.04	1.64	0.38	2.06	2.13	6.13	360.87	113.52	134.14	0.30
683673-154083	Stensjön	Hela sjön	20000811	B	Bnord12	24	0	34	919	1	37			23	733	3	58	1689	29.12	1.25	0.43	2.08	2.14	7.58	481.62	121.04	136.97	0.29
683673-154083	Stensjön	Hela sjön	20010802	B	Bnord12	1	0	25	624	1	590			21	999	3	47	2213	47.09	0.62	0.45	2.09	2.16	7.82	343.53	122.71	143.29	0.16
683673-154083	Stensjön	Hela sjön	20010802	B	Bnord12	2	3	33	762	0	0			7	726	2	40	1488	37.20	1.05	0.49	2.09	2.32	8.43	362.53	123.37	209.07	0.24
683673-154083	Stensjön	Hela sjön	20010802	B	Bnord12	3	3	45	806	0	0			9	568	2	54	1374	25.44	1.42	0.41	2.06	2.26	6.03	281.45	114.81	180.42	0.20
683673-154083	Stensjön	Hela sjön	20010802	B	Bnord12	4	0	14	542	0	0			4	239	2	18	781	43.39	2.27	0.31	2.17	2.26	8.27	382.04	149.11	180.03	0.49
683673-154083	Stensjön	Hela sjön	20010802	B	Bnord12	5	6	8	286	0	0			0	0	1	8	286	35.75		0.00	2.18		3.98	169.78	150.04		0.59
683673-154083	Stensjön	Hela sjön	20010802	B	Bnord12	6	6	4	98	0	0			0	0	1	4	98	24.50		0.00	2.13		1.03	26.49	135.23		0.27
683673-154083	Stensjön	Hela sjön	20010802	B	Bnord12	7	3	44	859	0	0			7	293	2	51	1152	22.59	2.93	0.25	2.06	2.19	6.92	342.00	114.46	153.93	0.30
683673-154083	Stensjön	Hela sjön	20010802	B	Bnord12	8	0	7	267	1	2			21	583	3	29	852	29.38	0.46	0.68	2.15	2.13	2.93	170.34	141.36	135.02	0.20
683673-154083	Stensjön	Hela sjön	20010802	B	Bnord12	9	6	2	91	0	0			2	151	2	4	242	60.50	0.60	0.62	2.22	2.08	1.45	79.07	166.24	119.21	0.33
683673-154083	Stensjön	Hela sjön	20010802	B	Bnord12	10	6	0	0	0	0			0	0	0	0	0										
683673-154083	Stensjön	Hela sjön	20010802	B	Bnord12	11	0	26	753	0	0			114	1944	2	140	2697	19.26	0.39	0.72	2.03	2.03	5.40	371.54	106.08	107.34	0.14
683673-154083	Stensjön	Hela sjön	20010802	B	Bnord12	12	6	0	0	0	0			0	0	0	0	0										
683673-154083	Stensjön	Hela sjön	20010802	B	Bnord12	13	0	20	679	0	0			13	595	2	33	1274	38.61	1.14	0.47	2.11	2.20	9.15	495.83	129.91	156.98	0.39
683673-154083	Stensjön	Hela sjön	20010802	B	Bnord12	14	0	21	803	0	0			10	539	2	31	1342	43.29	1.49	0.40	2.12	2.20	5.70	587.33	130.76	157.71	0.44
683673-154083	Stensjön	Hela sjön	20010802	B	Bnord12	15	3	69	1428	0	0			33	645	2	102	2073	20.32	2.21	0.31	2.02	2.08	15.07	906.34	105.87	121.40	0.44
683673-154083	Stensjön	Hela sjön	20010802	B	Bnord12	16	0	22	1478	0	0			16	530	2	38	2008	52.84	2.79	0.26	2.23	2.07	16.52	1262.71	171.69	117.99	0.63
683673-154083	Stensjön	Hela sjön	20010802	B	Bnord12	17	0	23	521	0	0			15	636	2	38	1157	30.45	0.82	0.55	2.05	2.15	4.47	299.28	113.12	140.58	0.26
683673-154083	Stensjön	Hela sjön	20010802	B	Bnord12	18	6	7	341	0	0			0	0	1	7	341	48.71		0.00	2.22		5.35	272.08	165.61		0.80
683673-154083	Stensjön	Hela sjön	20010802	B	Bnord12	19	3	35	562	0	0			13	588	2	48	1150	23.96	0.96	0.51	2.03	2.18	4.73	164.80	108.10	150.21	0.14
683673-154083	Stensjön	Hela sjön	20010802	B	Bnord12	20	6	31	709	0	0			9	529	2	40	1238	30.95	1.34	0.43	2.11	2.23	6.62	298.40	127.87	169.61	0.24
683673-154083	Stensjön	Hela sjön	20010802	B	Bnord12	21	6	6	210	0	0			20	441	2	26	651	25.04	0.48	0.68	2.18	2.16	3.32	139.08	152.06	143.45	0.21
683673-154083	Stensjön	Hela sjön	20010802	B	Bnord12	22	3	55	1088	0	0			10	612	2	65	1700	26.15	1.78	0.36	2.06	2.24	8.25	386.13	115.81	175.64	0.23
683673-154083	Stensjön	Hela sjön	20010802	B	Bnord12	23	3	36	505	0	0			10	480	2	46	985	21.41	1.05	0.49	2.02	2.22	3.08	107.84	105.61	165.34	0.11
683673-154083	Stensjön	Hela sjön	20010802	B	Bnord12	24	3	16	482	0	0			15	480	2	31	962	31.03	1.00	0.50	2.13	2.18	7.05	298.59	135.89	152.01	0.31
683673-154083	Stensjön	Hela sjön	20020814	B	Bnord12	1	0	35	603	0	0			26	724	2	61	1327	21.75	0.83	0.55	2.02	2.10	6.27	287.51	105.71	124.57	0.22
683673-154083	Stensjön	Hela sjön	20020814	B	Bnord12	2	3	25	682	0	0			21	690	2	46	1372	29.83	0.99	0.50	2.11	2.11	5.02	327.96	127.83	127.54	0.24
683673-154083	Stensjön	Hela sjön	20020814	B	Bnord12	3	3	36	1290	1	590			9	395	3	46	2275	49.46	3.27	0.17	2.13	2.18	11.93	827.90	134.87	152.60	0.36
683673-154083	Stensjön	Hela sjön	20020814	B	Bnord12	4	0	35	714	0	0			29	685	2	64	1399	21.86	1.04	0.49	2.07	2.08	7.63	314.47	118.10	120.01	0.22
683673-154083	Stensjön	Hela sjön	20020814	B	Bnord12	5	6	11	343	0	0			2	292	2	13	635	48.85	1.17	0.46	2.17	2.39	5.03	192.69	146.56	245.41	0.30
683673-154083	Stensjön	Hela sjön	20020814	B	Bnord12	6	6	0	0	0	0			0	0	0	0	0										
683673-154083	Stensjön	Hela sjön	20020814	B	Bnord12	7	3	39	886	0	0			8	403	2	47	1289	27.43	2.20	0.31	2.09	2.22	9.97	347.15	123.56	166.49	0.27
683673-154083	Stensjön	Hela sjön	20020814	B	Bnord12	8	0	15	471	0	0			17	540	2	32	1011	31.59	0.87	0.53	2.12	2.16	6.40	302.31	132.19	142.90	0.30
683673-154083	Stensjön	Hela sjön	20020814	B	Bnord12	9	6	0	0	0	0			0	0	0	0	0										
683673-154083	Stensjön	Hela sjön	20020814	B	Bnord12	10	0	35	657	0	0			6	271	2	41	928	22.63	2.42	0.29	2.04	2.21	3.72	287.53	109.70	162.59	0.31
683673-154083	Stensjön	Hela sjön	20020814	B	Bnord12	11	6	0	0	0	0			0	0	0	0	0										
683673-154083	Stensjön	Hela sjön	20020814	B	Bnord12	12	6	1	36	0	0			0	0	1	1	36	36.00		0.00	2.21		0.72	29.78	163.00		0.83
683673-154083	Stensjön	Hela sjön	20020814	B	Bnord12	13	0	31	810	1	1235			18	851	3	50	2896	57.92	0.95	0.29	2.10	2.19	7.18	479.39	125.03	155.27	0.17
683673-154083	Stensjön	Hela sjön	20020814	B	Bnord12	14	0	35	1520	0	0			18	658	2	53	2178	41.09	2.31	0.30	2.12	2.13	8.75	891.30	132.82	135.95	0.41
683673-154083	Stensjön	Hela sjön	20020814	B	Bnord12	15	3	21	572	0	0			6	233	2	27	805	29.81	2.45	0.29	2.13	2.20	8.87	509.59	133.58	158.52	0.63
683673-154083	Stensjön	Hela sjön	20020814	B	Bnord12	16	0	8	353	1	133			9	244	3	18	730	40.56	1.45	0.33	2.15	2.14	2.23	247.05	141.98	138.97	0.34
683673-154083	Stensjön	Hela sjön	20020814	B	Bnord12	17	6	0	0	0	0			0	0	0	0	0										
683673-154083	Stensjön	Hela sjön	20020814	B	Bnord12	18	0	27	1040	0	0			9	315	2	36	1355	37.64	3.30	0.23	2.11	2.16	9.42	805.63	128.87	143.29	0.59
683673-154083	Stensjön	Hela sjön	20020814	B	Bnord12	19	3	171	3478	1	647			8	395	3	180	4520	25.11	8.81	0.09	2.10	2.22	25.52	1023.47	126.94	164.21	0.23
683673-154083	Stensjön	Hela sjön	20020814	B	Bnord12	20	6	1	26	0	0			0	0	1	1	26	26.00		0.00	2.15		0.33	8.51	140.00		0.33
683673-154083	Stensjön	Hela sjön	20020814	B	Bnord12	21	6	0	0	0	0			0	0	0	0	0										
683673-154083	Stensjön	Hela sjön	20020814	B	Bnord12	22	3	52	1315	0	0			7	490	2	59	1805	30.59	2.68	0.27	2.12	2.29	12.60	592.83	133.17	192.82	0.33
683673-154083	Stensjön	Hela sjön	20020814	B	Bnord12	23	3	63	1440	0	0			2	135	2	65	1575	24.23	10.67	0.09	2.09	2.28	9.88	599.55	122.18	190.79	0.38
683673-154083	Stensjön	Hela sjön	20020814	B	Bnord12	24	3	22	513	1	835			12	328	3	35	1676	47.89	1.56	0.20	2.11	2.13	5.75	258.21	128.78	136.22	0.15
683673-154083	Stensjön	Hela sjön	20030810	B	Bnord12	1	0	33	1541	0	0			14	367	2	47	1908	40.60	4.20	0.19	2.14	2.12	11.80	1115.29	136.65	132.77	0.58
683673-154083	Stensjön	Hela sjön	20030810	B	Bnord12	2	3	42	1905	0	0			9	379	2	51	2284	44.78	5.03	0.17	2.14	2.20	16.48	1342.92	139.00	157.56	0.59
683673-154083	Stensjön	Hela sjön	20030810	B	Bnord12	3	3	82	2247	1	558			4	263	3	87	3068	35.26	8.54	0.09	2.12	2.26	22.18	1220.18	132.67	180.88	0.40
683673-154083	Stensjön	Hela sjön	20030810	B	Bnord12	4	0	22	1009	0	0			16	698	2	38	1707	44.92	1.45	0.41	2.16	2.21	9.02	740.03	144.56	161.41	0.43
683673-154083	Stensjön	Hela sjön	20030810	B	Bnord12	5	6	3	70	0	0			0	0	1	3	70	23.33		0.00	2.13		0.77	18.32	135.24		0.26
683673-154083	Stensjön	Hela sjön	20030810	B	Bnord12	6	6	1	15	0	0			0	0	1	1	15	15.00		0.00	2.08		0.00	0.00	120.00		0.00
683673-154083	Stensjön	Hela sjön	20030810	B	Bnord12	7	3	73	1504	0	0			4	279	2	77	1783	23.16	5.39	0.16	2.10	2.29	15.08	445.02	125.78	194.79	0.25
683673-154083	Stensjön	Hela sjön	20030810	B	Bnord12	8	0	25	594	0	0			12	504	2	37	1098	29.68	1.18	0.46	2.05	2.20	6.95	341.89	111.61	159.97	0.31
683673-154083	Stensjön	Hela sjön	20030810	B	Bnord12	9	6	0	0	0	0			0	0	0	0	0										
683673-154083	Stensjön	Hela sjön	20030810	B	Bnord12	10	6	0	0	0	0			0	0	0	0	0										
683673-154083	Stensjön	Hela sjön	20030810	B	Bnord12	11	0	14	332	0	0			16	709	2	30	1041	34.70	0.47	0.68	2.08	2.20	4.52	218.37	120.99	158.21	0.21
683673-154083	Stensjön	Hela sjön	20030810	B	Bnord12	12	6	8	331	0	0			0	0	1	8	331	41.38		0.00	2.21		5.72	254.52	162.46		0.77
683673-154083	Stensjön	Hela sjön	20030810	B	Bnord12	13	0	23	1031	0	0			6	122	2	29	1153	39.76	8.45	0.11	2.18	2.06	12.07	884.35	151.76	115.98	0.77
683673-154083	Stensjön	Hela sjön	20030810	B	Bnord12	14	0	28	591	0	0			21	980	2	49	1571	32.06	0.60	0.62	2.09	2.20	5.42	256.90	122.80	157.11	0.16
683673-154083	Stensjön	Hela sjön	20030810	B	Bnord12	15	3	74	1776	0	0			13	482	2	87	2258	25.95	3.68	0.21	2.06	2.20	13.63	1143.22	114.01	157.01	0.51
683673-154083	Stensjön	Hela sjön	20030810	B	Bnord12	16	0	24	574	2	936			12	415	3	38	1925	50.66	1.38	0.22	2.06	2.17	7.07	363.06	115.68	147.02	0.19
683673-154083	Stensjön	Hela sjön	20030810	B	Bnord12	17	0	17	1196	0	0			6	199	2	23	1395	60.65	6.01	0.14	2.20	2.17	8.72	982.52	157.33	147.22	0.70
683673-154083	Stensjön	Hela sjön	20030810	B	Bnord12	18	6	21	485	0	0			0	0	1	21	485	23.10		0.00	2.13		5.55	145.40	135.36		0.30
683673-154083	Stensjön	Hela sjön	20030810	B	Bnord12	19	3	60	1137	0	0			9	300	2	69	1437	20.83	3.79	0.21	2.08	2.18	10.65	350.73	118.97	150.87	0.24
683673-154083	Stensjön	Hela sjön	20030810	B	Bnord12	20	6	5	142	0	0			0	0	1	5	142	28.40		0.00	2.16		1.97	61.56	143.20		0.43
683673-154083	Stensjön	Hela sjön	20030810	B	Bnord12	21	6	4	120	0	0			0	0	1	4	120	30.00		0.00	2.16		1.75	62.42	145.60		0.52
683673-154083	Stensjön	Hela sjön	20030810	B	Bnord12	22	3	63	1282	0	0			18	833	2	81	2115	26.11	1.54	0.39	2.04	2.22	7.47	616.12	110.36	166.28	0.29
683673-154083	Stensjön	Hela sjön	20030810	B	Bnord12	23	3	31	554	0	0			5	342	2	36	896	24.89	1.62	0.38	2.08	2.25	3.17	146.64	118.91	178.01	0.16
683673-154083	Stensjön	Hela sjön	20030810	B	Bnord12	24	3	21	639	0	0			14	504	2	35	1143	32.66	1.27	0.44	2.10	2.18	7.57	438.18	126.61	150.94	0.38
683673-154083	Stensjön	Hela sjön	20040802	B	Bnord12	1	0	29	773	0	0			12	279	2	41	1052	25.66	2.77	0.27	2.11	2.09	5.88	359.02	129.13	122.76	0.34
683673-154083	Stensjön	Hela sjön	20040802	B	Bnord12	2	3	26	489	1	18			20	735	3	47	1242	26.43	0.67	0.59	2.06	2.16	4.07	161.19	115.33	143.80	0.13
683673-154083	Stensjön	Hela sjön	20040802	B	Bnord12	3	3	54	1161	0	0			7	361	2	61	1522	24.95	3.22	0.24	2.11	2.23	11.18	303.27	129.54	169.70	0.20
683673-154083	Stensjön	Hela sjön	20040802	B	Bnord12	4	0	32	651	0	0			18	315	2	50	966	19.32	2.07	0.33	2.09	2.08	5.28	192.42	122.01	120.75	0.20
683673-154083	Stensjön	Hela sjön	20040802	B	Bnord12	5	6	1	39	0	0			0	0	1	1	39	39.00		0.00	2.21		0.70	28.52	162.00		0.73
683673-154083	Stensjön	Hela sjön	20040802	B	Bnord12	6	6	7	211	0	0			1	28	2	8	239	29.88	7.54	0.12	2.16	2.18	3.00	101.83	145.18	150.00	0.43
683673-154083	Stensjön	Hela sjön	20040802	B	Bnord12	7	3	42	998	0	0			16	678	2	58	1676	28.90	1.47	0.40	2.11	2.18	9.50	410.22	128.19	150.51	0.24
683673-154083	Stensjön	Hela sjön	20040802	B	Bnord12	8	0	9	483	0	0			29	793	2	38	1276	33.58	0.61	0.62	2.21	2.11	5.33	375.12	162.28	129.64	0.29
683673-154083	Stensjön	Hela sjön	20040802	B	Bnord12	9	3	41	992	0	0			6	305	2	47	1297	27.60	3.25	0.24	2.12	2.20	9.27	413.33	130.85	156.77	0.32
683673-154083	Stensjön	Hela sjön	20040802	B	Bnord12	10	3	18	355	0	0			24	903	2	42	1258	29.95	0.39	0.72	2.07	2.18	2.62	136.28	116.93	152.38	0.11
683673-154083	Stensjön	Hela sjön	20040802	B	Bnord12	11	0	24	491	0	0			14	464	2	38	955	25.13	1.06	0.49	2.07	2.17	5.82	235.38	116.16	148.41	0.25
683673-154083	Stensjön	Hela sjön	20040802	B	Bnord12	12	6	7	226	1	1068			0	0	2	8	1294	161.75		0.00	2.17		3.40	121.81	148.62		0.09
683673-154083	Stensjön	Hela sjön	20040802	B	Bnord12	13	0	40	1085	0	0			7	275	2	47	1360	28.94	3.95	0.20	2.13	2.15	11.08	466.16	135.17	140.52	0.34
683673-154083	Stensjön	Hela sjön	20040802	B	Bnord12	14	0	32	707	0	0			26	834	2	58	1541	26.57	0.85	0.54	2.11	2.07	6.63	228.59	127.92	117.81	0.15
683673-154083	Stensjön	Hela sjön	20040802	B	Bnord12	15	3	55	1332	0	0			18	560	2	73	1892	25.92	2.38	0.30	2.12	2.09	13.82	471.75	132.92	122.73	0.25
683673-154083	Stensjön	Hela sjön	20040802	B	Bnord12	16	0	21	1300	0	0			15	468	2	36	1768	49.11	2.78	0.26	2.22	2.12	13.18	1084.92	165.38	133.30	0.61
683673-154083	Stensjön	Hela sjön	20040802	B	Bnord12	17	3	33	737	0	0			16	612	2	49	1349	27.53	1.20	0.45	2.11	2.16	7.08	252.30	130.01	145.94	0.19
683673-154083	Stensjön	Hela sjön	20040802	B	Bnord12	18	0	9	336	2	1065			5	74	3	16	1475	92.19	4.54	0.05	2.14	2.06	3.35	257.81	137.13	114.07	0.17
683673-154083	Stensjön	Hela sjön	20040802	B	Bnord12	19	6	12	378	0	0			0	0	1	12	378	31.50		0.00	2.18		6.22	234.82	150.51		0.62
683673-154083	Stensjön	Hela sjön	20040802	B	Bnord12	20	6	0	0	0	0			0	0	0	0	0										
683673-154083	Stensjön	Hela sjön	20040802	B	Bnord12	21	6	9	269	0	0			0	0	1	9	269	29.89		0.00	2.17		4.15	140.00	147.26		0.52
683673-154083	Stensjön	Hela sjön	20040802	B	Bnord12	22	6	5	155	1	392			1	24	3	7	571	81.57	6.46	0.04	2.17	2.16	2.32	93.12	146.72	143.00	0.16
683673-154083	Stensjön	Hela sjön	20040802	B	Bnord12	23	6	9	293	0	0			1	139	2	10	432	43.20	2.11	0.32	2.17	2.38	4.48	181.27	148.95	240.00	0.42
683673-154083	Stensjön	Hela sjön	20040802	B	Bnord12	24	3	26	1111	0	0			8	283	2	34	1394	41.00	3.93	0.20	2.12	2.19	5.47	683.21	133.35	153.54	0.49
683673-154083	Stensjön	Hela sjön	20050729	B	Bnord12	1	0	49	1274	0	0			6	325	2	55	1599	29.07	3.92	0.20	2.14	2.21	16.88	541.22	137.11	162.64	0.34
683673-154083	Stensjön	Hela sjön	20050729	B	Bnord12	2	3	36	968	0	0			5	204	2	41	1172	28.59	4.75	0.17	2.13	2.20	10.88	432.96	134.31	158.76	0.37
683673-154083	Stensjön	Hela sjön	20050729	B	Bnord12	3	3	55	2205	0	0			5	288	2	60	2493	41.55	7.66	0.12	2.17	2.26	24.07	1310.71	147.92	180.62	0.53
683673-154083	Stensjön	Hela sjön	20050729	B	Bnord12	4	0	40	869	0	0			10	877	2	50	1746	34.92	0.99	0.50	2.09	2.30	7.12	273.11	124.20	201.59	0.16
683673-154083	Stensjön	Hela sjön	20050729	B	Bnord12	5	6	14	422	0	0			0	0	1	14	422	30.14		0.00	2.14		5.48	215.55	139.59		0.51
683673-154083	Stensjön	Hela sjön	20050729	B	Bnord12	6	6	3	110	0	0			0	0	1	3	110	36.67		0.00	2.17		1.47	63.32	148.03		0.58
683673-154083	Stensjön	Hela sjön	20050729	B	Bnord12	7	3	45	1115	0	0			8	486	2	53	1601	30.21	2.29	0.30	2.12	2.25	11.40	424.90	132.06	178.46	0.27
683673-154083	Stensjön	Hela sjön	20050729	B	Bnord12	8	0	18	429	0	0			11	403	2	29	832	28.69	1.06	0.48	2.08	2.20	4.12	194.14	120.02	158.44	0.23
683673-154083	Stensjön	Hela sjön	20050729	B	Bnord12	9	6	3	166	0	0			0	0	1	3	166	55.33		0.00	2.25		2.62	155.30	177.33		0.94
683673-154083	Stensjön	Hela sjön	20050729	B	Bnord12	10	6	5	150	0	0			0	0	1	5	150	30.00		0.00	2.16		2.05	63.50	144.30		0.42
683673-154083	Stensjön	Hela sjön	20050729	B	Bnord12	11	0	22	622	2	1532			11	400	3	35	2554	72.97	1.56	0.16	2.13	2.17	5.92	307.69	134.24	148.24	0.12
683673-154083	Stensjön	Hela sjön	20050729	B	Bnord12	12	6	8	210	0	0			0	0	1	8	210	26.25		0.00	2.14		2.65	76.58	139.53		0.36
683673-154083	Stensjön	Hela sjön	20050729	B	Bnord12	13	0	25	707	0	0			18	554	2	43	1261	29.33	1.28	0.44	2.14	2.10	8.78	335.31	136.83	127.26	0.27
683673-154083	Stensjön	Hela sjön	20050729	B	Bnord12	14	0	11	432	0	0			32	1166	2	43	1598	37.16	0.37	0.73	2.18	2.15	5.78	289.66	151.16	141.64	0.18
683673-154083	Stensjön	Hela sjön	20050729	B	Bnord12	15	3	32	689	1	854			14	793	3	47	2336	49.70	0.87	0.34	2.07	2.25	6.53	333.75	117.34	178.03	0.14
683673-154083	Stensjön	Hela sjön	20050729	B	Bnord12	16	0	23	1581	1	577			13	457	3	37	2615	70.68	3.46	0.17	2.03	2.17	7.67	1299.37	107.84	148.96	0.50
683673-154083	Stensjön	Hela sjön	20050729	B	Bnord12	17	0	16	933	0	0			8	284	2	24	1217	50.71	3.29	0.23	2.17	2.19	6.28	539.06	147.33	155.26	0.44
683673-154083	Stensjön	Hela sjön	20050729	B	Bnord12	18	6	1	67	0	0			0	0	1	1	67	67.00		0.00	2.29		1.00	71.41	193.00		1.07
683673-154083	Stensjön	Hela sjön	20050729	B	Bnord12	19	3	57	1614	0	0			15	579	2	72	2193	30.46	2.79	0.26	2.14	2.18	19.62	681.17	138.74	152.51	0.31
683673-154083	Stensjön	Hela sjön	20050729	B	Bnord12	20	6	8	277	0	0			4	243	2	12	520	43.33	1.14	0.47	2.18	2.27	4.27	174.85	151.61	186.13	0.34
683673-154083	Stensjön	Hela sjön	20050729	B	Bnord12	21	6	13	298	0	0			5	137	2	18	435	24.17	2.18	0.31	2.10	2.08	3.47	142.21	124.58	120.55	0.33
683673-154083	Stensjön	Hela sjön	20050729	B	Bnord12	22	3	35	1013	0	0			7	421	2	42	1434	34.14	2.41	0.29	2.11	2.26	6.05	438.36	129.04	181.14	0.31
683673-154083	Stensjön	Hela sjön	20050729	B	Bnord12	23	3	13	305	0	0			8	453	2	21	758	36.10	0.67	0.60	2.12	2.25	3.20	91.37	130.54	176.62	0.12
683673-154083	Stensjön	Hela sjön	20050729	B	Bnord12	24	3	20	538	0	0			8	407	2	28	945	33.75	1.32	0.43	2.13	2.21	5.67	239.43	134.46	160.63	0.25
683673-154083	Stensjön	Hela sjön	20060715	B	Bnord12	1	6	15	396	0	0			0	0	1	15	396	26.40		0.00	2.14		4.83	126.84	139.22		0.32
683673-154083	Stensjön	Hela sjön	20060715	B	Bnord12	2	6	6	228	1	911			1	28	3	8	1167	145.88	8.14	0.02	2.18	2.17	3.32	143.63	152.42	147.00	0.12
