"Year"	"DepthStratum"	"N"	"n21"	"n18"	"n15"	"n12"
"1999"	"6-12m"	8	7	6	5	4
"2000"	"0-3m"	8	7	6	5	4
"2000"	"0-3m"	8	7	6	5	4
"2000"	"0-3m"	8	7	6	5	4
"2000"	"0-3m"	8	7	6	5	4
"2000"	"0-3m"	8	7	6	5	4
"2000"	"0-3m"	8	7	6	5	4
"2000"	"0-3m"	8	7	6	5	4
"2000"	"0-3m"	8	7	6	5	4
"2000"	"0-3m"	8	7	6	5	4
"2000"	"3-6m"	8	7	6	5	4
"2000"	"3-6m"	8	7	6	5	4
"2000"	"3-6m"	8	7	6	5	4
"2000"	"3-6m"	8	7	6	5	4
"2000"	"3-6m"	8	7	6	5	4
"2000"	"3-6m"	8	7	6	5	4
"2000"	"3-6m"	8	7	6	5	4
"2000"	"6-12m"	8	7	6	5	4
"2000"	"6-12m"	8	7	6	5	4
"2000"	"6-12m"	8	7	6	5	4
"2000"	"6-12m"	8	7	6	5	4
"2000"	"6-12m"	8	7	6	5	4
"2000"	"6-12m"	8	7	6	5	4
"2000"	"6-12m"	8	7	6	5	4
"2000"	"6-12m"	8	7	6	5	4
"2001"	"0-3m"	8	7	6	5	4
"2001"	"0-3m"	8	7	6	5	4
"2001"	"0-3m"	8	7	6	5	4
"2001"	"0-3m"	8	7	6	5	4
"2001"	"0-3m"	8	7	6	5	4
"2001"	"0-3m"	8	7	6	5	4
"2001"	"0-3m"	8	7	6	5	4
"2001"	"0-3m"	8	7	6	5	4
"2001"	"3-6m"	8	7	6	5	4
"2001"	"3-6m"	8	7	6	5	4
"2001"	"3-6m"	8	7	6	5	4
"2001"	"3-6m"	8	7	6	5	4
"2001"	"3-6m"	8	7	6	5	4
"2001"	"3-6m"	8	7	6	5	4
"2001"	"3-6m"	8	7	6	5	4
"2001"	"3-6m"	8	7	6	5	4
"2001"	"6-12m"	8	7	6	5	4
"2001"	"6-12m"	8	7	6	5	4
"2001"	"6-12m"	8	7	6	5	4
"2001"	"6-12m"	8	7	6	5	4
"2001"	"6-12m"	8	7	6	5	4
"2001"	"6-12m"	8	7	6	5	4
"2001"	"6-12m"	8	7	6	5	4
"2001"	"6-12m"	8	7	6	5	4
"2002"	"0-3m"	8	7	6	5	4
"2002"	"0-3m"	8	7	6	5	4
"2002"	"0-3m"	8	7	6	5	4
"2002"	"0-3m"	8	7	6	5	4
"2002"	"0-3m"	8	7	6	5	4
"2002"	"0-3m"	8	7	6	5	4
"2002"	"0-3m"	8	7	6	5	4
"2002"	"0-3m"	8	7	6	5	4
"2002"	"3-6m"	8	7	6	5	4
"2002"	"3-6m"	8	7	6	5	4
"2002"	"3-6m"	8	7	6	5	4
"2002"	"3-6m"	8	7	6	5	4
"2002"	"3-6m"	8	7	6	5	4
"2002"	"3-6m"	8	7	6	5	4
"2002"	"3-6m"	8	7	6	5	4
"2002"	"3-6m"	8	7	6	5	4
"2002"	"6-12m"	8	7	6	5	4
"2002"	"6-12m"	8	7	6	5	4
"2002"	"6-12m"	8	7	6	5	4
"2002"	"6-12m"	8	7	6	5	4
"2002"	"6-12m"	8	7	6	5	4
"2002"	"6-12m"	8	7	6	5	4
"2002"	"6-12m"	8	7	6	5	4
"2002"	"6-12m"	8	7	6	5	4
"2003"	"0-3m"	8	7	6	5	4
"2003"	"0-3m"	8	7	6	5	4
"2003"	"0-3m"	8	7	6	5	4
"2003"	"0-3m"	8	7	6	5	4
"2003"	"0-3m"	8	7	6	5	4
"2003"	"0-3m"	8	7	6	5	4
"2003"	"0-3m"	8	7	6	5	4
"2003"	"0-3m"	8	7	6	5	4
"2003"	"3-6m"	8	7	6	5	4
"2003"	"3-6m"	8	7	6	5	4
"2003"	"3-6m"	8	7	6	5	4
"2003"	"3-6m"	8	7	6	5	4
"2003"	"3-6m"	8	7	6	5	4
"2003"	"3-6m"	8	7	6	5	4
"2003"	"3-6m"	8	7	6	5	4
"2003"	"3-6m"	8	7	6	5	4
"2003"	"6-12m"	8	7	6	5	4
"2003"	"6-12m"	8	7	6	5	4
"2003"	"6-12m"	8	7	6	5	4
"2003"	"6-12m"	8	7	6	5	4
"2003"	"6-12m"	8	7	6	5	4
"2003"	"6-12m"	8	7	6	5	4
"2003"	"6-12m"	8	7	6	5	4
"2003"	"6-12m"	8	7	6	5	4
"2004"	"0-3m"	8	7	6	5	4
"2004"	"0-3m"	8	7	6	5	4
"2004"	"0-3m"	8	7	6	5	4
"2004"	"0-3m"	8	7	6	5	4
"2004"	"0-3m"	8	7	6	5	4
"2004"	"0-3m"	8	7	6	5	4
"2004"	"0-3m"	8	7	6	5	4
"2004"	"0-3m"	8	7	6	5	4
"2004"	"3-6m"	8	7	6	5	4
"2004"	"3-6m"	8	7	6	5	4
"2004"	"3-6m"	8	7	6	5	4
"2004"	"3-6m"	8	7	6	5	4
"2004"	"3-6m"	8	7	6	5	4
"2004"	"3-6m"	8	7	6	5	4
"2004"	"3-6m"	8	7	6	5	4
"2004"	"3-6m"	8	7	6	5	4
"2004"	"6-12m"	8	7	6	5	4
"2004"	"6-12m"	8	7	6	5	4
"2004"	"6-12m"	8	7	6	5	4
"2004"	"6-12m"	8	7	6	5	4
"2004"	"6-12m"	8	7	6	5	4
"2004"	"6-12m"	8	7	6	5	4
"2004"	"6-12m"	8	7	6	5	4
"2004"	"6-12m"	8	7	6	5	4
"2005"	"0-3m"	8	7	6	5	4
"2005"	"0-3m"	8	7	6	5	4
"2005"	"0-3m"	8	7	6	5	4
"2005"	"0-3m"	8	7	6	5	4
"2005"	"0-3m"	8	7	6	5	4
"2005"	"0-3m"	8	7	6	5	4
"2005"	"0-3m"	8	7	6	5	4
"2005"	"0-3m"	8	7	6	5	4
"2005"	"3-6m"	8	7	6	5	4
"2005"	"3-6m"	8	7	6	5	4
"2005"	"3-6m"	8	7	6	5	4
"2005"	"3-6m"	8	7	6	5	4
"2005"	"3-6m"	8	7	6	5	4
"2005"	"3-6m"	8	7	6	5	4
"2005"	"3-6m"	8	7	6	5	4
"2005"	"3-6m"	8	7	6	5	4
"2005"	"6-12m"	8	7	6	5	4
"2005"	"6-12m"	8	7	6	5	4
"2005"	"6-12m"	8	7	6	5	4
"2005"	"6-12m"	8	7	6	5	4
"2005"	"6-12m"	8	7	6	5	4
"2005"	"6-12m"	8	7	6	5	4
"2005"	"6-12m"	8	7	6	5	4
"2005"	"6-12m"	8	7	6	5	4
"2006"	"0-3m"	8	7	6	5	4
"2006"	"0-3m"	8	7	6	5	4
"2006"	"0-3m"	8	7	6	5	4
"2006"	"0-3m"	8	7	6	5	4
